properties_group,name,type,description,pattern,default,maximum,minimum
animal_properties,animal_config_from_literature_death_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of death over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_still_birth_rate,number,Rate of stillbirths (percent),,0.065,1,0
animal_properties,methane_mitigation_methane_mitigation_method,string,Methane Mitigation Method (select one) -- The type of enteric methane mitigation supplement that is fed to the lactating cows. Note that default values given are not implemented unless the specific supplement is selected here,^(None|3-NOP|Monensin|Essential Oils|Seaweed)$,None,,
animal_properties,methane_mitigation_methane_mitigation_additive_amount,number,,,0,,
animal_properties,methane_mitigation_3-NOP_additive_amount,number,3-NOP Additive Amount (mg/kg DMI) -- The dosage of the 3-NOP mitigation additive,,70,100,40
animal_properties,methane_mitigation_monensin_additive_amount,number,Monensin Additive Amount (mg/kg DMI) -- The dosage of the monensin mitigation additive,,24,36,20
animal_properties,methane_mitigation_essential_oils_additive_amount,number,Essential Oils Additive Amount (mg/kg DMI) -- The dosage of the essential oils mitigation additive,,0,100,0
animal_properties,methane_mitigation_seaweed_additive_amount,number,Seaweed Additive Amount (mg/kg DMI) -- The dosage of seaweed mitigation additive,,0,100,0
animal_properties,housing,string,Housing Type (select one) -- The type of housing management for the herd,^(barn|pasture|drylot)$,barn,,
animal_properties,pasture_concentrate,number,Pasture Concentrate Fed (kg/head/day) -- Amount of concentrate provided to lactating cows each day if animals are housed on pasture,,0,,0
animal_properties,methane_model_calves,string,Methane emission models to use for calves.,^(Pattanaik)$,Pattanaik,,
animal_properties,methane_model_heiferIs,string,Methane emission models to use for heiferIs.,^(IPCC)$,IPCC,,
animal_properties,methane_model_heiferIIs,string,Methane emission models to use for heiferIIs.,^(IPCC)$,IPCC,,
animal_properties,methane_model_heiferIIIs,string,Methane emission models to use for heiferIIIs.,^(IPCC)$,IPCC,,
animal_properties,methane_model_cows_dry cows,string,Methane emission models for dry cows.,^(IPCC|Mills)$,IPCC,,
animal_properties,methane_model_cows_lactating cows,string,Methane emission models for lactating cows.,^(IPCC|Mills|Mutian)$,IPCC,,
animal_properties,ration_user_input,bool,User Input -- A bool value indicating if the user will provide the ration or diet formulation they would like to feed to the cattle (true) or not (false).,,True,,
animal_properties,ration_formulation_interval,number,Formulation Interval (days) -- The length of time in days between when the diets are reformulated,,30,,1
animal_properties,ration_phosphorus_requirement_buffer,number,"Percentage increase in phosphorus nutrient requirement in calculation of animal requirements. The default value is highly recommended as the starting value (e.g. some testing may be required to find a reasonable buffer value). For example, if you wanted to supply 150% of the calculated requirement, you would use a value of 50.",,75,,0
animal_properties,ration_maximum_ration_reformulation_attempts,number,"The maximum number of attempts the ration formulation logic will make before stopping. Meant only to catch edge cases that could cause infinite loops. In normal operation, this value should never be reached.",,250,,1
animal_properties,pen_information_properties_id,number,Pen ID -- The index of the pen,,,,
animal_properties,pen_information_properties_pen_name,string,Pen Name -- The name or identifier of a given pen,,,,
animal_properties,pen_information_properties_animal_combination,string,Animal Combination (select one) -- The valid combinations of animal types that can be in a pen. CALF = Calves; GROWING = HeiferI's and HeiferII's; CLOSE_UP = HeiferIII's and Dry Cows; LAC_COWS = Lactating Cows,^(CALF|GROWING|CLOSE_UP|LAC_COW)$,,,
animal_properties,pen_information_properties_vertical_dist_to_milking_parlor,number,Vertical Distance to Milking Parlor (m) -- The elevation gain (in meters) between the pen and the milking parlor,,0.1,,0
animal_properties,pen_information_properties_horizontal_dist_to_milking_parlor,number,Horizontal Distance to Milking Parlor (m) -- The distance (in meters) between the pen and the milking parlor,,10,,0
animal_properties,pen_information_properties_number_of_stalls,number,Number of Stalls -- The number of stalls in the pen,,1000,,0
animal_properties,pen_information_properties_housing_type,string,Housing Type (select one) -- The type of barn the pen is in,^(open air barn)$,open air barn,,
animal_properties,pen_information_properties_pen_type,string,"Pen Type -- The type of pen (freestall, tiestall, open lot, bedded pack)",^(freestall|tiestall|open lot|bedded pack)$,freestall,,
animal_properties,pen_information_properties_max_stocking_density,number,Maximum Stocking Density -- The maximum ratio of the number of animals in the pen to the number of stalls in the pen,,1.2,5,0.5
animal_properties,pen_information_properties_minutes_away_for_milking,number,Total number of minutes that animals in this pen spend away from the pen for milking each day (being milked or traveling to/from the parlor). This value is only used if the pen contains lactating cows.,,,1440,0
animal_properties,pen_information_properties_first_parlor_processor,string,Name of the parlor cleaning manure handler assigned to this pen. Must be a parlor cleaning handler listed in the manure processors configuration input file  (default file name: example_freestall_processor_configs.json).,,,,
animal_properties,pen_information_properties_parlor_stream_name,string,The stream identifier for the parlor-generated manure.,,,,
animal_properties,pen_information_properties_properties_stream_name,string,"Unique identifier for the manure stream. Must be unique, i.e., not identical to the stream_name field of any other manure stream defined for the same pen.",,,,
