DISCLAIMER,variable_name,usage_count
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_water_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_water_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_phosphorus,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_potassium,1
,AnimalModuleReporter.report_manure_streams.water_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.nitrogen_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.phosphorus_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.potassium_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.ash_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.total_solids_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.volume_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.mass_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_calf_pen_CALF_PEN_0,1
,AnimalModuleReporter.report_manure_streams.water_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.nitrogen_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.phosphorus_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.potassium_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.ash_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.total_solids_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.volume_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.mass_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_grow_pen_GROWING_PEN_1,1
,AnimalModuleReporter.report_manure_streams.water_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.nitrogen_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.phosphorus_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.potassium_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.ash_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.total_solids_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.volume_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.mass_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_closeup_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.water_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.nitrogen_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.phosphorus_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.potassium_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ash_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_solids_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.volume_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.mass_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_early_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.water_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.nitrogen_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.phosphorus_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.potassium_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ash_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_solids_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.volume_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.mass_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_early_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_milk.milk_data_at_milk_update,1
,AnimalModuleReporter.report_daily_animal_population.sim_day,1
,AnimalModuleReporter.report_daily_animal_population.num_animals,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.CALF_deaths,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_I_deaths,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_II_deaths,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_III_deaths,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.LAC_COW_deaths,1
,AnimalModuleReporter.report_daily_animal_population.AnimalType.DRY_COW_deaths,1
,AnimalModuleReporter.report_daily_animal_population.num_calves,1
,AnimalModuleReporter.report_daily_animal_population.num_heiferIs,1
,AnimalModuleReporter.report_daily_animal_population.num_heiferIIs,1
,AnimalModuleReporter.report_daily_animal_population.num_heiferIIIs,1
,AnimalModuleReporter.report_daily_animal_population.num_lactating_cows,1
,AnimalModuleReporter.report_daily_animal_population.num_dry_cows,1
,AnimalModuleReporter.report_daily_animal_population.num_cows_total,1
,RationManager.set_user_defined_rations.user_defined_ration.202,0
,RationManager.set_user_defined_rations.user_defined_ration.216,0
,RationManager.set_user_defined_rations.user_defined_ration.50,0
,RationManager.set_user_defined_rations.user_defined_ration.110,0
,RationManager.set_user_defined_rations.user_defined_ration.95,0
,RationManager.set_user_defined_rations.user_defined_ration.104,0
